model,domain,setting,target,n,samples,seed,macro_f1,accuracy,f1_positive,f1_negative,f1_neutral
mt5,phone,s2,vi,100,100,123,0.5135,0.6479,0.7631,0.5774,0.2
ag_can,phone,s2,de,200,200,123,0.6006,0.7698,0.8551,0.6254,0.3212
ag_can,restaurant,s2,de,50,50,42,0.5364,0.6584,0.7648,0.5855,0.2588
mt5,phone,s2,vi,200,200,42,0.5709,0.7223,0.8165,0.5484,0.3478
ag_can,restaurant,s2,de,100,100,42,0.5291,0.6479,0.7653,0.5707,0.2512
ag_can,restaurant,s2,de,50,50,123,0.5627,0.7081,0.8105,0.6209,0.2568
mt5,restaurant,s2,de,200,200,123,0.6273,0.7696,0.8671,0.6461,0.3688
mt5,phone,s2,zh,50,50,456,0.5907,0.7126,0.8108,0.5766,0.3846
xlmr,phone,s2,vi,100,100,456,0.6702,0.8298,0.8935,0.7625,0.3546
xlmr,restaurant,s2,de,200,200,456,0.7336,0.8665,0.9238,0.7978,0.4792
mt5,restaurant,s2,zh,50,50,42,0.634,0.7867,0.8824,0.7339,0.2857
mt5,restaurant,s2,zh,100,100,123,0.6493,0.7533,0.8571,0.7037,0.3871
mt5,restaurant,s2,vi,100,100,42,0.4631,0.598,0.7618,0.4195,0.208
xlmr,restaurant,s2,zh,100,100,456,0.7507,0.8467,0.9006,0.8515,0.5
mt5,restaurant,s2,vi,50,50,123,0.5119,0.6425,0.7686,0.5371,0.23
ag_can,phone,s2,zh,100,100,123,0.5464,0.6707,0.7725,0.5645,0.3022
ag_can,restaurant,s2,vi,100,100,456,0.5861,0.7303,0.8316,0.5882,0.3385
mt5,phone,s2,zh,100,100,42,0.5822,0.722,0.8196,0.5859,0.3411
mt5,phone,s2,vi,100,100,456,0.5016,0.6347,0.7485,0.5032,0.2531
ag_can,phone,s2,de,200,200,456,0.6066,0.7673,0.8546,0.625,0.3401
ag_can,restaurant,s2,vi,50,50,42,0.5053,0.6387,0.7379,0.5484,0.2295
xlmr,restaurant,s2,de,200,200,123,0.7309,0.8482,0.9096,0.7688,0.5143
xlmr,restaurant,s2,de,200,200,42,0.7068,0.8469,0.9135,0.7784,0.4286
ag_can,phone,s2,de,200,200,42,0.5961,0.7805,0.8712,0.6143,0.3027
mt5,phone,s2,zh,50,50,123,0.6258,0.7598,0.8506,0.5804,0.4463
mt5,restaurant,s2,de,200,200,456,0.6392,0.7683,0.8557,0.6516,0.4103
xlmr,phone,s2,vi,100,100,123,0.6797,0.8372,0.9025,0.7456,0.391
ag_can,restaurant,s2,de,50,50,456,0.5105,0.6165,0.7281,0.5928,0.2105
xlmr,phone,s2,de,200,200,42,0.7307,0.8762,0.9285,0.797,0.4667
xlmr,restaurant,s2,zh,100,100,123,0.7154,0.8267,0.8765,0.8348,0.4348
mt5,restaurant,s2,zh,200,200,42,0.6155,0.7333,0.8571,0.6667,0.3226
mt5,restaurant,s2,zh,100,100,456,0.6386,0.7267,0.8712,0.6364,0.4082
ag_can,restaurant,s2,vi,100,100,123,0.5296,0.6565,0.7611,0.5525,0.2754
ag_can,phone,s2,zh,50,50,42,0.5547,0.6491,0.739,0.525,0.4
ag_can,phone,s2,zh,100,100,456,0.5916,0.7301,0.8325,0.5587,0.3836
mt5,restaurant,s2,vi,50,50,456,0.5692,0.7494,0.8587,0.5879,0.2609
xlmr,phone,s2,zh,100,100,42,0.7243,0.8367,0.9013,0.721,0.5505
ag_can,restaurant,s2,vi,50,50,123,0.5291,0.673,0.7779,0.565,0.2443
ag_can,phone,s2,zh,100,100,42,0.5808,0.7031,0.8008,0.5622,0.3793
xlmr,restaurant,s2,zh,100,100,42,0.7577,0.86,0.9167,0.8738,0.4828
xlmr,phone,s2,zh,200,200,123,0.7252,0.8381,0.8944,0.7812,0.5
xlmr,restaurant,s2,zh,50,50,123,0.7127,0.8133,0.8718,0.8545,0.4118
ag_can,restaurant,s2,de,100,100,123,0.5863,0.7291,0.8295,0.628,0.3014
xlmr,phone,s2,zh,50,50,123,0.7252,0.8489,0.9094,0.7562,0.5098
ag_can,restaurant,s2,vi,100,100,42,0.5149,0.6425,0.7667,0.5105,0.2674
mt5,phone,s2,zh,200,200,456,0.5956,0.7665,0.8624,0.5837,0.3407
mt5,phone,s2,de,200,200,42,0.6135,0.7723,0.8598,0.6276,0.3529
ag_can,phone,s2,zh,50,50,123,0.5144,0.6086,0.7107,0.4968,0.3358
ag_can,restaurant,s2,zh,200,200,123,0.54,0.6267,0.6861,0.6774,0.2564
mt5,restaurant,s2,de,50,50,123,0.5733,0.7264,0.8394,0.6047,0.2759
ag_can,phone,s2,vi,200,200,456,0.5215,0.6545,0.7531,0.6159,0.1957
mt5,phone,s2,de,100,100,456,0.5672,0.7616,0.8615,0.5727,0.2674
mt5,phone,s2,vi,50,50,42,0.5487,0.7066,0.7995,0.5671,0.2794
xlmr,restaurant,s2,vi,200,200,123,0.7044,0.8486,0.9103,0.799,0.4038
xlmr,phone,s2,zh,50,50,42,0.7226,0.8489,0.9115,0.7564,0.5
mt5,restaurant,s2,de,100,100,42,0.5507,0.6963,0.8359,0.5696,0.2466
xlmr,phone,s2,de,100,100,123,0.7115,0.8647,0.921,0.7815,0.432
mt5,restaurant,s2,vi,200,200,456,0.5336,0.6845,0.8264,0.528,0.2466
xlmr,restaurant,s2,vi,200,200,42,0.7256,0.855,0.9116,0.8064,0.4587
xlmr,phone,s2,zh,200,200,456,0.6921,0.8178,0.8904,0.7582,0.4276
xlmr,phone,s2,vi,200,200,42,0.701,0.8587,0.9166,0.7836,0.403
ag_can,restaurant,s2,vi,50,50,456,0.4741,0.5789,0.675,0.5416,0.2057
ag_can,phone,s2,vi,200,200,42,0.5651,0.7331,0.8338,0.6222,0.2393
ag_can,phone,s2,zh,50,50,456,0.5921,0.7274,0.8242,0.6254,0.3268
